ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
VLTO,Industrials,25276669952,27.890411,27.146667,8.878424,4.837,0.37978,0.11594,0.16746001,0.23219,100.772,1.568,1.301,1.131,0.068,0.08,3.393333375
VRSN,Technology,23694956544,29.599768,29.326014,-11.492842,15.179,,0.47981,0.49855998,0.67836,,0.527,0.481,0.783,0.073,0.097,3.0233004123711336
VRSK,Industrials,31414913024,34.592308,30.843622,83.18535,11.262,2.68133,0.15722,0.30418,0.45529,1295.046,1.193,1.143,0.817,0.059,0.045,6.854138222222222
VZ,Communication Services,171229036544,8.658849,8.585624,1.6300727,2.473,0.19875,0.05175,0.14428,0.23932,164.799,0.739,0.574,0.324,0.015,0.5,0.17171247999999997
VRTX,Healthcare,111055609856,30.482054,23.076717,6.3514524,8.995,0.22307,0.12039,0.31349,0.40268,10.594,2.362,1.84,0.322,0.11,0.047,4.909939787234042
VTRS,Healthcare,12364343296,,4.0112357,0.81581354,1.837,-0.21087,0.02184,-0.26134002,0.107609995,97.03,1.351,0.644,0.837,0.002,,
VICI,Real Estate,30407684096,10.817491,10.421246,1.098795,12.095,0.10357001,0.05009,0.70175004,0.97673,62.925,37.05,37.048,0.711,0.044,0.014,7.443747142857142
V,Financial Services,639773245440,32.3474,26.036335,17.0065,15.97,0.52068,0.17261,0.50145,0.6575,68.807,1.078,0.757,0.82,0.115,0.12,2.1696945833333334
VST,Utilities,58464342016,62.068348,25.007246,21.373714,4.53,0.1731,0.03592,0.06701,0.21042,335.784,0.995,0.35,1.39,-0.209,-0.667,-0.3749212293853073
VMC,Basic Materials,38296821760,34.260048,31.920704,4.380365,5.463,0.13520999,0.06404,0.14189,0.23622,56.296,2.231,1.353,1.066,0.144,0.808,0.39505821782178213
WRB,Financial Services,27665543168,15.294118,16.735634,2.8222525,1.862,0.20887,0.03825,0.13007,0.17723,31.481,0.399,0.243,0.381,0.108,0.407,0.41119493857493866
GWW,Industrials,45973962752,26.953169,22.824745,12.85441,2.72,0.46719003,0.18964,0.09746,0.15180999,68.67,2.717,1.461,1.112,0.061,-0.38,-0.6006511842105263
WAB,Industrials,35624058880,30.28779,24.54417,3.223401,3.787,0.11147001,0.05862,0.10941,0.18468,51.131,1.424,0.664,0.995,0.084,0.11,2.231288181818182
WMT,Consumer Defensive,897078853632,39.3042,41.327206,9.327857,1.366,0.23661,0.06539,0.03259,0.0373,66.747,0.803,0.196,0.649,0.058,0.352,1.1740683522727273
DIS,Communication Services,188477407232,15.30365,20.35534,1.7088597,2.453,0.12203,0.04474,0.13136,0.11868,39.632,0.71,0.554,1.491,-0.005,1.873,0.10867773625200214
WBD,Communication Services,60784717824,129.10527,-188.69232,1.6869541,2.41,0.00969,0.01055,0.01281,0.087340005,89.857,1.074,0.628,1.615,-0.06,,
WM,Industrials,86431088640,33.785828,26.584883,9.079905,4.423,0.29328,0.07051,0.10345,0.18872999,245.399,0.843,0.731,0.594,0.149,-0.207,-1.2842938647342996
WAT,Healthcare,23731738624,36.637867,30.829079,10.180565,7.989,0.32987,0.11534,0.20891,0.27392998,66.042,1.534,0.965,1.178,0.08,-0.077,-4.003776493506494
WEC,Utilities,35161055232,20.510435,20.706896,2.5914028,5.946,0.12807,0.0306,0.17748,0.22163,151.448,0.498,0.261,0.556,0.129,0.093,2.226547956989247
WFC,Financial Services,276521025536,14.2207575,15.723134,1.6519309,3.741,0.115200005,0.01064,0.26629,0.33717,,,,1.106,0.075,0.169,0.9303629585798815
WELL,Real Estate,139461853184,141.1111,111.648346,3.5867474,15.279,0.0275,0.02001,0.09693,0.19906001,46.211,6.991,4.094,0.853,0.306,-0.437,-2.5548820594965673
WST,Healthcare,19642707968,40.508904,36.307182,6.4331656,6.401,0.16945,0.10222,0.16293,0.21849,9.93,2.87,2.016,1.165,0.077,0.038,9.554521578947368
WDC,Technology,54843858944,22.533804,18.160046,9.2931,,0.29707,0.0828,0.25459,0.15403,,1.213,0.844,1.893,,,
WY,Real Estate,15793874944,47.586956,25.453487,1.6718856,2.952,0.03419,0.019270001,0.0468,0.02854,58.233,1.227,0.58,1.086,0.021,1.859,0.13692031737493274
WSM,Consumer Cyclical,21256929280,19.653421,21.901598,10.366791,2.76,0.56918997,0.17867,0.14297,0.16950001,70.88,1.427,0.541,1.539,0.046,0.048,4.562832916666667
WMB,Energy,73529581568,31.196892,28.808613,5.8931193,8.964,0.16902,0.04537,0.20462999,0.39554,188.338,0.422,0.254,0.641,0.083,-0.085,-3.389248588235294
WTW,Financial Services,30794926080,15.104785,17.451078,3.9200082,3.496,0.27633,0.05075,0.21576001,0.18881,75.685,1.104,0.327,0.636,-0.0,,
WDAY,Technology,56887017472,90.27966,25.669878,6.33485,5.74,0.073359996,0.03178,0.06955,0.10855,42.719,1.829,1.721,1.142,0.126,0.306,0.8388849019607844
WYNN,Consumer Cyclical,13838235648,29.509975,26.511951,-37.031162,3.258,,0.055770002,0.07092,0.16931999,,1.757,1.605,1.099,0.083,,
XEL,Utilities,46755303424,24.09756,20.637075,2.2070198,5.711,0.09449001,0.02236,0.13459,0.26615998,167.891,0.795,0.478,0.454,0.074,-0.272,-0.7587159926470587
XYL,Industrials,33944455168,35.932987,29.351578,3.0292232,3.944,0.08555,0.047989998,0.10659,0.15653,18.253,1.957,1.32,1.168,0.078,0.045,6.522572888888889
YUM,Consumer Cyclical,40987111424,28.719845,24.279604,-5.4682174,6.504,,0.24031,0.17951,0.34410998,,1.694,1.458,0.678,0.084,0.044,5.518091818181818
ZBRA,Technology,12835784704,25.515608,15.796133,3.430827,2.691,0.14286,0.06394,0.09743,0.14621,62.984,1.607,1.132,1.671,0.052,-0.254,-0.621895
ZBH,Healthcare,18656811008,23.3598,10.946511,1.4626644,3.195,0.06421,0.043330003,0.100530006,0.17003,64.523,2.428,1.209,0.61,0.097,-0.057,-1.9204405263157893
ZTS,Healthcare,55149752320,20.949495,19.62776,10.177476,6.39,0.49868,0.15089,0.28211,0.39333,135.05,3.643,2.006,0.962,0.005,0.085,2.3091482352941175
